Compound_id,drug_name,canonical_smiles,inchi_key,LogS (aqueous solubility),LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,0,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,Hepatotoxicity,Neurotoxicity,Nephrotoxicity,Respiratory Toxicity,Cardiotoxicity,Carcinogenicity,Immunotoxicity,Mutagenicity,Cytotoxicity,BBB,Ecotoxicity,Clinical toxicity,Nutritional toxicity,Aryl hydrocarbon Receptor (AhR),Androgen Receptor (AR),Androgen Receptor Ligand Binding Domain (AR-LBD),Aromatasen,Estrogen Receptor Alpha (ER),Estrogen Receptor Ligand Binding Domain (ER-LBD),Peroxisome Proliferator Activated Receptor Gamma (PPAR-Gamma),Nuclear factor (erythroid-derived 2)-like 2/antioxidant responsive element (nrf2/ARE),Heat shock factor response element (HSE),Mitochondrial Membrane Potential (MMP),Phosphoprotein (Tumor Supressor) p53,ATPase family AAA domain-containing protein 5 (ATAD5),Thyroid hormone receptor alpha (THR?),Thyroid hormone receptor beta (THR?),Transtyretrin (TTR),Ryanodine receptor (RYR),GABA receptor (GABAR),Glutamate N-methyl-D-aspartate receptor (NMDAR), alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor (AMPAR),Kainate receptor (KAR),Achetylcholinesterase (AChE),Constitutive androstane receptor (CAR),Pregnane X receptor (PXR),NADH-quinone oxidoreductase (NADHOX),Voltage gated sodium channel (VGSC),Na+/I- symporter (NIS),Cytochrome CYP1A2CYP1A2,Cytochrome CYP2C19CYP2C19 ,Cytochrome CYP2C9CYP2C9,Cytochrome CYP2D6CYP2D6,Cytochrome CYP3A4CYP3A4,Cytochrome CYP2E1CYP2E1
S1843,Chenodeoxycholic Acid,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,,-4.523,3.404,3.043,0.889,0.016,0.059,0.012,0.237,-5.003,8.61E-05,0.793,0.9548,0.695,0.0308,0.017,0.613,0.006,0.851,0.084,0.962,0,0.431,0.011,0.079,20.153,0.615,0.035,0.44,0.013,0.011,0.067,0.885,0.156,0.031,0.003,0.009,0.813,0.848,4.185,3.658,5.033,0.022,0.003,0.001,0.004,0.497,0.877,0.871,0.155,0.003,0.081,0.909,0.009,392.29,421.959,0.93,4,3,77.76,4,4,17,4,0,21,0.19,10,0,0,0,0,0,1,0,0,0.659,4.342,0.958,73.532,2.429,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 18,OC1CCC2(C(C1)CC(C1C2CCC2(C1CCC2C(CCC(=O)O)C)C)O)C,C24H40O4,392.57,28,0,0.96,4,4,3,112.6,77.76,3.14,3.08,4.48,3.88,3.42,3.6,-3.95,0.044,0.000112,Soluble,-4.38,0.0164,0.0000417,Moderately soluble,-3.13,0.29,0.00074,Soluble,High,No,Yes,No,No,No,No,No,-6.51,0,0,0,0,0,0.56,0,0,1,4.93,0.73,0.9,0.7,0.84,0.77,0.79,0.78,0.56,0.76,0.67,0.59,0.51,0.67,1,0.91,0.96,0.99,0.94,0.95,0.99,0.96,0.96,0.76,0.98,0.99,0.61,0.92,0.67,0.86,0.55,0.99,1,1,0.89,0.99,0.58,0.7,0.98,0.96,1,1,0.86,0.98,1,1
S1865,Diltiazem HCl,Cl.COC1=CC=C(C=C1)C2SC3=C(C=CC=C3)N(CCN(C)C)C(=O)C2OC(C)=O,,-4.063,2.594,2.758,0.989,0.005,0.009,0.287,0.322,-4.687,2.10E-05,0.951,0.8417,3.07,0.2666,0.092,0.659,0.392,0.967,0.087,0.716,0.297,0.9,0.87,0.917,9.426,0.069,0.388,0.862,0.957,0.777,0.242,0.513,0.13,0.112,0.003,0.008,0.803,1.401,4.475,6.361,6.406,0.552,0.038,0.05,0.491,0.099,0.007,0.008,0.337,0.018,0.008,0.089,0.636,414.16,417.971,0.991,6,0,59.08,7,3,11,7,0,20,0.35,2,1,0,0,0,4,0,2,1,0.676,3.142,0.364,59.533,-0.131,3,0,0,0,Accepted,Accepted,Rejected,Accepted,0,Molecule 50,COc1ccc(cc1)C1Sc2ccccc2N(C(=O)C1OC(=O)C)CCN(C)C.Cl,C22H27ClN2O4S,450.98,30,12,0.36,7,5,0,124.36,84.38,0,3.5,3.47,2.61,2.83,2.48,-4.68,0.00953,0.0000211,Moderately soluble,-4.96,0.005,0.0000111,Moderately soluble,-5.65,0.001,0.00000222,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-6.57,0,0,0,0,0,0.55,0,0,1,4.44,0.71,0.71,0.52,0.94,0.72,0.66,0.86,0.62,0.53,0.9,0.56,0.57,0.62,0.9,0.97,0.98,0.96,0.95,0.94,0.98,0.96,0.96,0.9,0.85,0.98,0.67,0.75,0.86,0.72,0.8,0.96,1,0.99,0.65,0.95,0.7,0.94,0.81,0.91,0.89,0.85,0.65,0.88,0.51,0.99
S1899,Nicotinamide (NSC 13128),NC(=O)C1=CC=CN=C1,,0.451,-0.435,-0.246,0,0.15,0.009,0.002,0.012,-4.31,2.22E-05,0.876,0.2202,1.175,0.8233,0.31,0.756,0.057,0.071,0.015,0.208,0.019,0.31,0.024,0.215,7.91,0.308,0.069,0.059,0.95,0.011,0.3,0.022,0.543,0.306,0.006,0.961,0.072,0.269,1.724,2.661,2.267,0.008,0.002,0.009,0.004,0.057,0.004,0.003,0.022,0.011,0.008,0.01,0.004,122.05,124.014,0.984,3,2,55.98,1,1,6,3,0,7,0.143,0,1,0,0,0,0,0,0,0,0.577,1.691,0,5,-1.299,0,0,0,0,Accepted,Accepted,Accepted,Rejected,0,Molecule 16,NC(=O)c1cccnc1,C6H6N2O,122.12,9,6,0,1,2,1,32.33,55.98,0.7,-0.37,0.18,-0.43,0.52,0.12,-0.79,19.7,0.162,Very soluble,-0.34,55.5,0.454,Very soluble,-1.57,3.3,0.027,Soluble,High,No,No,No,No,No,No,No,-7.31,0,3,0,0,1,0.55,0,0,1,1,0.54,0.54,0.7,0.77,0.78,0.92,0.98,0.94,0.85,0.99,0.63,0.51,0.54,0.98,0.99,0.99,0.99,0.99,1,1,1,1,0.99,1,1,0.95,0.88,0.56,0.96,0.67,0.95,0.99,1,0.81,0.97,0.8,0.9,0.58,0.9,0.8,0.78,0.82,0.82,0.81,0.96
S1913,Tropicamide,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2,,-1.012,1.277,1.455,0.002,0.056,0.022,0.187,0.016,-4.618,3.09E-05,0.364,0.4394,0.878,0.5554,0.402,0.408,0.934,0.607,0.837,0.208,0.239,0.22,0.931,0.809,9.384,0.674,0.101,0.107,0.852,0.043,0.04,0.03,0.224,0.048,0.003,0.018,0.05,0.664,2.78,3.388,3.418,0.019,0.003,0.044,0.845,0.07,0.008,0.051,0.051,0.01,0.574,0.033,0.006,284.15,306.594,0.927,4,1,53.43,7,2,6,4,0,13,0.538,1,2,0,0,0,1,0,0,0,0.885,2.528,0.294,22,-0.87,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 13,CCN(C(=O)C(c1ccccc1)CO)Cc1ccncc1,C17H20N2O2,284.35,21,12,0.29,7,3,1,81.98,53.43,2.13,1.46,2.05,1.36,2.67,1.94,-2.48,0.934,0.00328,Soluble,-2.19,1.84,0.00648,Soluble,-4.9,0.0036,0.0000126,Moderately soluble,High,Yes,No,No,No,No,No,No,-7,0,0,0,0,0,0.55,0,0,0,2.42,0.93,0.66,0.54,0.76,0.7,0.56,0.99,0.72,0.72,0.86,0.51,0.56,0.61,0.95,0.97,0.96,1,0.96,0.99,0.98,0.97,0.97,0.92,0.96,0.98,0.79,0.68,0.8,0.93,0.57,0.87,0.99,0.99,0.56,0.98,0.73,0.93,0.54,0.91,0.77,0.99,0.78,0.57,0.74,0.98
S1933,Triamcinolone,CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,,-3.749,0.993,1.199,0.005,0.03,0.571,0.013,0.016,-4.941,1.64E-05,0.995,0.7667,0.762,0.1851,0.005,0.55,0.014,0.766,0.008,0.12,0.002,0.064,0.136,0.885,2.134,0.779,0.036,0.521,0.016,0.084,0.404,0.923,0.054,0.726,0.003,0.01,0.932,0.157,1.713,3.042,4.972,0.987,0.974,0.016,0.695,0.191,0.029,0.006,0.267,0.067,0.022,0.654,0.034,394.18,385.809,1.022,6,4,115.06,2,4,17,7,0,22,0.091,8,1,2,0,0,4,4,2,1,0.546,4.681,0.714,82.667,2.096,1,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 11,OCC(=O)C1(O)C(O)CC2C1(C)CC(O)C1(C2CCC2=CC(=O)C=CC12C)F,C21H27FO6,394.43,28,0,0.71,2,7,4,98.31,115.06,1.51,1.16,1.04,0.59,1.58,1.18,-2.88,0.515,0.00131,Soluble,-3.17,0.266,0.000674,Soluble,-1.83,5.78,0.0147,Soluble,High,No,Yes,No,No,No,No,No,-7.88,0,0,0,0,0,0.55,0,0,1,5.46,0.99,0.99,0.67,0.95,0.73,0.78,0.99,0.61,0.77,0.99,0.61,0.83,0.71,1,1,1,0.88,1,0.99,0.99,1,1,0.98,0.99,0.99,0.61,0.96,0.6,0.78,0.58,0.98,0.99,1,0.87,0.99,0.74,0.6,0.92,0.8,0.99,0.99,0.68,0.56,0.99,0.99
S1952,Methoxsalen,COC1=C2OC=CC2=CC3=C1OC(=O)C=C3,,-3.686,2.333,2.071,0.006,0.003,0.007,0.007,0.724,-4.695,3.06E-05,0.035,0.8296,0.657,0.1322,0.989,0.891,0.472,0.082,0.242,0.744,0.787,0.642,0.744,0.201,13.332,0.772,0.034,0.79,0.955,0.268,0.174,0.23,0.183,0.89,0.004,0.096,0.878,1.549,3.174,3.959,4.741,0.191,0.008,0.933,0.773,0.173,0.006,0.141,0.142,0.333,0.019,0.165,0.647,216.04,209.781,1.03,4,0,52.58,1,3,13,4,0,16,0.062,0,0,1,0,0,0,0,3,4,0.586,2.521,0.083,15,1.258,1,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 2,COc1c2oc(=O)ccc2cc2c1occ2,C12H8O4,216.19,16,13,0.08,1,4,0,58.75,52.58,2.22,2,2.55,1.18,2.88,2.16,-2.98,0.229,0.00106,Soluble,-2.73,0.402,0.00186,Soluble,-4.63,0.00501,0.0000232,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.2,0,0,0,0,0,0.55,0,1,1,2.97,0.78,0.89,0.51,0.62,0.77,0.86,0.78,0.51,0.86,0.68,0.55,0.51,0.55,1,0.99,0.99,0.99,0.96,0.99,0.99,0.99,0.99,0.96,0.98,0.96,0.88,0.86,0.84,0.93,0.64,0.98,0.99,1,0.75,0.98,0.61,0.83,0.87,0.86,1,0.69,0.92,0.92,0.93,0.97
S1965,Primidone,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,,-2.311,0.855,0.993,0.002,0.863,0.004,0.003,0.001,-4.669,9.52E-05,0.937,0.4546,1.296,0.5742,0.034,0.091,0.184,0.94,0.017,0.078,0.017,0.094,0.07,0.151,2.692,0.496,0.008,0.06,0.022,0.957,0.342,0.205,0.067,0.019,0.003,0.01,0.615,0.271,2.006,2.96,4.196,0.008,0.002,0.003,0.003,0.224,0.008,0.004,0.186,0.003,0.003,0.007,0.008,218.11,225.387,0.968,4,2,58.2,2,2,6,4,0,14,0.143,0,0,0,0,0,2,0,0,0,0.712,2.77,0.333,27,0.211,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 27,CCC1(C(=O)NCNC1=O)c1ccccc1,C12H14N2O2,218.25,16,6,0.33,2,2,2,67.05,58.2,1.19,0.91,-0.22,1.06,1.93,0.97,-1.91,2.67,0.0122,Very soluble,-1.72,4.18,0.0192,Very soluble,-4.17,0.0146,0.0000668,Moderately soluble,High,No,No,No,No,No,No,No,-6.99,0,0,0,0,0,0.55,0,1,1,1.68,0.9,0.72,0.57,0.91,0.93,0.88,0.99,0.73,0.72,0.97,0.56,0.59,0.66,0.96,0.98,0.99,0.98,0.98,0.99,0.99,0.98,0.98,0.95,0.98,0.99,0.9,0.78,0.97,0.98,0.96,0.92,0.97,0.99,0.9,0.98,0.92,0.97,0.95,0.98,0.91,0.86,0.64,0.65,0.92,0.99
S2006,Pyrimethamine,CCC1=NC(=NC(=C1C2=CC=C(Cl)C=C2)N)N,,-2.375,1.618,1.179,0.001,0.989,0.06,0.056,0.004,-5.474,3.87E-05,0.611,0.8883,0.79,0.144,0.564,0.731,0.242,0.033,0.048,0.002,0.012,0.064,0.031,0.308,3.896,0.84,0.946,0.996,0.952,0.113,0.789,0.944,0.293,0.93,0.003,0.021,0.971,-0.158,3.455,3.894,5.456,0.016,0.004,0.825,0.451,0.053,0.024,0.006,0.375,0.062,0.011,0.128,0.549,248.08,242.375,1.024,4,4,79.28,2,2,6,5,0,14,0.143,0,1,1,0,0,0,1,0,0,0.629,3.073,0.167,12,-0.501,0,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 20,CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,C12H13ClN4,248.71,17,12,0.17,2,2,2,71.06,77.82,2.15,2.69,2.54,1.64,2.44,2.29,-3.47,0.0848,0.000341,Soluble,-3.98,0.0262,0.000105,Soluble,-4.87,0.00339,0.0000136,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-5.91,0,0,0,0,0,0.55,0,0,1,2.43,0.78,0.74,0.8,0.88,0.88,0.85,0.96,0.86,0.89,0.73,0.62,0.58,0.61,0.74,0.93,0.98,0.94,0.64,0.97,0.97,0.99,0.99,0.92,0.85,0.93,0.98,0.85,0.78,0.96,0.85,0.9,1,1,0.8,0.99,0.76,0.96,0.66,0.79,0.86,0.52,0.62,0.52,0.88,0.99
S2011,Pramipexole 2HCl Monohydrate,O.Cl.Cl.CCCNC1CCC2=C(C1)SC(=N2)N,,-1.64,0.766,0.452,0,0.999,0.016,0.043,0.022,-5.185,1.93E-05,0.64,0.1552,1.185,0.7845,0.102,0.549,0.35,0.062,0.008,0.029,0.175,0.873,0.009,0.359,6.701,0.469,0.107,0.973,0.093,0.045,0.708,0.871,0.424,0.899,0.005,0.028,0.853,0.059,1.952,2.676,4.006,0.005,0.003,0.081,0.006,0.075,0.008,0.007,0.042,0.01,0.008,0.025,0.008,211.11,210.63,1.002,3,3,51.67,3,2,9,4,0,11,0.273,1,0,0,0,0,0,0,1,0,0.695,3.742,0.7,34.706,-0.913,1,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 11,CCCNC1CCc2c(C1)sc(n2)N.O.Cl.Cl,C10H21Cl2N3OS,302.26,17,5,0.7,3,3,3,78.15,88.41,0,2.99,3.13,0.73,2.64,1.9,-3.62,0.0729,0.000241,Soluble,-4.51,0.00933,0.0000309,Moderately soluble,-3.07,0.258,0.000853,Soluble,High,No,Yes,No,No,No,No,Yes,-6.02,0,0,0,0,0,0.55,0,0,0,3.61,0.64,0.78,0.72,0.89,0.74,0.58,0.96,0.56,0.55,0.71,0.51,0.54,0.56,0.93,0.99,0.99,0.98,0.94,0.99,0.99,0.96,0.96,0.96,0.97,0.97,0.94,0.86,0.8,0.76,0.76,0.93,0.97,1,0.67,0.99,0.83,0.83,0.67,0.78,0.74,0.73,0.63,0.72,0.77,0.98
S2024,Ketotifen Fumarate,CN1CCC(CC1)=C2C3=C(CC(=O)C4=C2C=CS4)C=CC=C3.OC(=O)\C=C\C(O)=O,,-5.416,2.968,3.879,0.857,0.03,0.004,0.008,0.005,-4.629,1.87E-05,0.958,0.9007,3.259,0.0271,0.773,0.957,0.151,0.956,0.024,0.246,0.965,0.93,0.022,0.672,4.073,0.048,0.967,0.519,0.896,0.878,0.741,0.838,0.933,0.126,0.004,0.022,0.96,2.298,4.526,5.396,5.421,0.033,0.433,0.921,0.275,0.215,0.381,0.855,0.176,0.01,0.777,0.286,0.735,309.12,322.795,0.958,2,0,20.31,1,4,14,3,0,23,0.043,0,0,1,0,0,0,0,1,3,0.67,2.508,0.316,48,-0.763,1,0,0,0,Accepted,Rejected,Accepted,Accepted,0,Molecule 4,CN1CCC(=C2c3ccccc3CC(=O)c3c2ccs3)CC1.OC(=O)/C=C/C(=O)O,C23H23NO5S,425.5,30,11,0.26,2,6,2,120.28,123.15,3.2,0.51,3.35,2.03,5.34,2.89,-2.94,0.49,0.00115,Soluble,-2.67,0.917,0.00215,Soluble,-5.97,0.000457,0.00000107,Moderately soluble,High,No,Yes,Yes,No,Yes,No,No,-8.53,0,0,0,0,0,0.56,0,1,1,3.85,0.92,0.56,0.53,0.98,0.84,0.62,0.98,0.64,0.54,0.72,0.69,0.67,0.51,0.85,0.96,0.98,0.89,0.88,0.98,0.98,0.94,0.94,0.85,0.87,0.98,0.66,0.83,0.86,0.58,0.75,0.85,0.99,1,0.6,0.98,0.54,0.84,0.85,0.64,0.9,0.67,0.53,0.53,0.76,0.96
S2051,Captopril,CC(CS)C(=O)N1CCCC1C(O)=O,,-0.608,-0.328,0.272,0.001,0.003,0.13,0.007,0.009,-5.897,5.30E-05,0.27,0.3189,0.307,0.6188,0.008,0.105,0.026,0.066,0.009,0.825,0.011,0.213,0.008,0.027,12.358,0.86,0.008,0.84,0.813,0.01,0.041,0.031,0.281,0.029,0.004,0.047,0.589,0.325,2.735,3.394,3.974,0.396,0.006,0.013,0.005,0.345,0.013,0.01,0.163,0.007,0.02,0.01,0.007,217.08,206.267,1.052,4,1,57.61,4,1,5,5,0,7,0.571,2,0,0,1,0,2,0,2,0,0.682,3.033,0.778,20,0.113,2,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 108,SCC(C(=O)N1CCCC1C(=O)O)C,C9H15NO3S,217.29,14,0,0.78,4,3,1,59.97,96.41,1.46,0.34,0.25,0.45,0.61,0.62,-1.14,15.8,0.0729,Very soluble,-1.93,2.56,0.0118,Very soluble,-0.38,91.4,0.421,Soluble,High,No,No,No,No,No,No,No,-7.38,0,0,0,0,0,0.56,0,1,1,2.47,0.89,0.58,0.86,0.8,0.62,0.5,0.99,0.83,0.79,0.55,0.68,0.51,0.55,0.93,0.96,0.96,0.97,0.89,0.99,0.97,0.99,0.99,0.98,0.95,0.98,0.9,0.78,0.97,0.98,0.96,0.92,0.97,0.99,0.89,0.98,0.92,0.97,0.95,0.98,0.98,0.9,0.77,0.88,0.99,0.98
S2062,Tiopronin,CC(S)C(=O)NCC(O)=O,,-0.519,-1.15,-0.471,0.001,0.005,0.021,0.003,0.01,-5.778,0.000344071,0.414,0.5422,0.257,0.5974,0.009,0.074,0.025,0.059,0.017,0.873,0.004,0.154,0.008,0.031,4.78,0.767,0.007,0.177,0.657,0.015,0.013,0.014,0.111,0.03,0.004,0.025,0.05,-0.009,1.792,2.767,3.56,0.011,0.003,0.009,0.003,0.125,0.006,0.013,0.15,0.005,0.014,0.006,0.006,163.03,145.64,1.119,4,2,66.4,4,0,0,5,0,2,2,1,0,0,1,0,2,0,1,0,0.492,2.923,0.6,3,-0.006,2,0,0,0,Accepted,Accepted,Accepted,Rejected,0,Molecule 179,CC(C(=O)NCC(=O)O)S,C5H9NO3S,163.19,10,0,0.6,4,3,2,38.85,105.2,0.72,-0.14,-0.49,-0.54,-0.36,-0.16,-0.5,51.7,0.317,Very soluble,-1.62,3.96,0.0243,Very soluble,-0.2,104,0.637,Soluble,High,No,No,No,No,No,No,No,-7.39,0,3,0,0,1,0.56,0,1,1,1.85,0.88,0.8,0.59,0.77,0.57,0.68,0.99,0.84,0.65,0.78,0.72,0.51,0.65,0.99,0.99,0.99,1,0.93,0.99,0.99,0.99,0.99,1,0.98,0.99,0.76,0.77,0.62,0.86,0.68,0.73,0.99,0.99,0.89,0.99,0.75,0.72,0.8,0.91,0.99,0.98,0.88,0.83,0.99,0.96
S2098,Bexarotene (LGD1069),CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(O)=O)C(C)(C)CCC2(C)C,,-3.425,4.74,6.85,0.873,0,0.019,0.003,0.009,-4.791,1.15E-05,0.022,0.9872,0.789,0.0117,0.125,0.942,0.175,0.08,0.214,0.109,0.459,0.066,0.038,0.311,1.316,0.042,0.657,0.745,0.977,0.012,0.475,0.916,0.079,0.034,0.003,0.011,0.753,0.774,4.549,5.539,4.834,0.013,0.022,0.016,0.737,0.587,0.426,0.968,0.87,0.018,0.926,0.977,0.897,348.21,394.48,0.883,2,1,37.3,3,3,10,2,0,19,0.158,0,0,0,0,0,1,0,0,0,0.727,2.527,0.375,51.576,0.546,0,0,0,0,Accepted,Rejected,Rejected,Accepted,0,Molecule 139,Cc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C,C24H28O2,348.48,26,12,0.38,3,2,1,109.37,37.3,3.74,7.6,6.1,5.26,6.62,5.86,-6.93,0.0000407,0.000000117,Poorly soluble,-8.22,0.00000209,6.01E-09,Poorly soluble,-7.72,0.00000667,1.91E-08,Poorly soluble,High,No,No,No,No,Yes,Yes,No,-3.03,1,1,0,1,1,0.85,0,0,1,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2105,Pantoprazole,COC1=C(OC)C(=NC=C1)C[S](=O)C2=NC3=CC=C(OC(F)F)C=C3[NH]2,,-2.962,1.446,1.414,0.002,0.293,0.006,0.004,0.005,-4.59,2.68E-05,0.014,0.9863,0.333,0.0137,0.96,0.963,0.258,0.526,0.277,0.597,0.098,0.776,0.649,0.643,3.763,0.825,0.105,0.931,0.832,0.31,0.444,0.976,0.069,0.952,0.003,0.012,0.955,0.933,3.47,2.926,5.427,0.003,0.021,0.478,0.021,0.01,0.004,0.004,0.916,0.014,0.001,0.081,0.004,383.08,339.963,1.127,7,1,92.32,7,3,9,10,0,16,0.438,1,1,0,1,0,2,2,3,0,0.631,3.769,0.25,36,-0.881,4,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 86,COc1c(OC)ccnc1CS(=O)c1nc2c([nH]1)cc(cc2)OC(F)F,C16H15F2N3O4S,383.37,26,15,0.25,7,8,1,90.36,105.54,1.67,2.37,4.44,0.38,2.62,2.3,-3.67,0.081,0.000211,Soluble,-4.23,0.0227,0.0000593,Moderately soluble,-6.02,0.000369,0.000000962,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.96,0,0,0,0,0,0.55,0,0,1,3.68,0.6,0.55,0.56,0.85,0.67,0.65,0.72,0.54,0.83,0.7,0.55,0.72,0.58,1,0.99,0.99,0.9,0.93,0.99,0.99,0.99,0.99,0.95,0.98,0.99,0.89,0.59,0.51,0.87,0.89,0.93,0.99,0.99,0.91,0.99,0.63,0.89,0.62,0.87,0.62,0.84,0.51,0.58,0.66,0.99
S2127,S-(+)-Rolipram,COC1=C(OC2CCCC2)C=C(C=C1)C3CNC(=O)C3,,-3.375,2.876,2.4,0.995,0.017,0.003,0.002,0.002,-4.617,3.54E-05,0.901,0.9133,0.642,0.066,0.272,0.44,0.939,0.843,0.749,0.666,0.572,0.718,0.791,0.376,7.712,0.413,0.066,0.597,0.168,0.1,0.227,0.883,0.506,0.63,0.003,0.039,0.178,0.773,3.312,3.468,5.387,0.139,0.004,0.053,0.013,0.131,0.008,0.011,0.054,0.022,0.019,0.042,0.013,275.15,286.444,0.961,4,1,47.56,4,3,6,4,0,17,0.235,1,0,0,0,0,2,0,0,0,0.919,2.73,0.562,54.6,0.658,1,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 17,COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1,C16H21NO3,275.34,20,6,0.56,4,3,1,80.73,47.56,2.75,2.21,2.24,1.91,3.11,2.44,-2.9,0.349,0.00127,Soluble,-2.84,0.395,0.00143,Soluble,-4.24,0.0158,0.0000574,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.41,0,0,0,0,0,0.55,0,0,0,2.7,0.8,0.55,0.64,0.66,0.72,0.54,0.78,0.67,0.7,0.95,0.59,0.63,0.55,0.98,0.99,0.99,0.96,0.96,0.99,0.99,0.99,0.99,0.96,0.98,0.99,0.75,0.69,0.66,0.82,0.56,0.97,0.99,1,0.81,0.99,0.83,0.68,0.65,0.88,0.59,0.64,0.6,0.51,0.81,0.99
S2233,Esomeprazole sodium,COC1=CC=C2[N]([Na])C(=NC2=C1)[S](=O)CC3=NC=C(C)C(=C3C)OC,,-2.74,1.524,1.69,0.007,0.923,0.018,0.008,0.008,-4.639,2.44E-05,0.02,0.9859,0.141,0.0123,0.86,0.918,0.592,0.862,0.693,0.857,0.502,0.895,0.839,0.79,5.927,0.745,0.017,0.69,0.83,0.526,0.033,0.951,0.08,0.966,0.003,0.03,0.514,2.509,4.623,5.369,5.956,0.02,0.029,0.885,0.622,0.123,0.007,0.015,0.934,0.018,0.005,0.148,0.057,367.1,378.092,0.971,6,0,72.23,5,3,9,8,0,16,0.312,1,1,0,1,0,2,0,3,0,0.511,4.105,0.294,38,-0.66,4,0,0,0,Accepted,Accepted,Accepted,Accepted,0,Molecule 7,COc1ccc2c(c1)nc(n2[Na])S(=O)Cc1ncc(c(c1C)OC)C,C17H18N3NaO3S,367.4,25,15,0.29,5,5,0,92.74,85.45,0,2.21,3.4,0.91,1,1.5,-3.62,0.0873,0.000238,Soluble,-3.64,0.0844,0.00023,Soluble,-5.71,0.000721,0.00000196,Moderately soluble,High,No,Yes,No,Yes,No,Yes,Yes,-6.97,0,0,0,0,0,0.55,0,0,1,3.86,0.52,0.55,0.59,0.62,0.75,0.57,0.82,0.52,0.86,0.81,0.56,0.6,0.61,0.67,0.97,0.95,0.95,0.92,0.97,0.95,0.95,0.95,0.92,0.98,0.98,0.92,0.53,0.53,0.83,0.89,0.95,0.99,1,0.89,0.99,0.64,0.92,0.8,0.89,0.63,0.62,0.55,0.58,0.74,0.99
